experiment_id,samples,n_components,kernel,best_C,best_gamma,cv_score,train_accuracy,test_accuracy,test_balanced_accuracy,precision,recall,f1_score,generalization_gap,explained_variance_ratio,training_time
Exp085_700samp_2comp_linear,700,2,linear,1.0,N/A,0.8642857142857142,0.8685714285714285,0.88,0.8680555555555556,0.8818181818181818,0.8083333333333333,0.8434782608695652,0.011428571428571455,14.892454518465106,0.3574073314666748
Exp086_700samp_2comp_rbf,700,2,rbf,1.0,scale,0.8714285714285713,0.8742857142857143,0.89,0.8805555555555555,0.8849557522123894,0.8333333333333334,0.8583690987124464,0.01571428571428568,14.892454518465106,2.3224122524261475
Exp087_700samp_3comp_linear,700,3,linear,1.0,N/A,0.8728571428571428,0.8742857142857143,0.8866666666666667,0.8736111111111111,0.8981481481481481,0.8083333333333333,0.8508771929824561,0.012380952380952381,19.29840340498218,0.3719000816345215
Exp088_700samp_3comp_rbf,700,3,rbf,100.0,0.001,0.8728571428571428,0.8742857142857143,0.8933333333333333,0.8805555555555555,0.9074074074074074,0.8166666666666667,0.8596491228070176,0.01904761904761898,19.29840340498218,2.248950958251953
Exp089_700samp_4comp_linear,700,4,linear,1.0,N/A,0.8628571428571428,0.87,0.89,0.8791666666666667,0.8918918918918919,0.825,0.8571428571428571,0.020000000000000018,22.536056086511827,0.5068140029907227
Exp090_700samp_4comp_rbf,700,4,rbf,10.0,auto,0.8728571428571428,0.8985714285714286,0.8866666666666667,0.8791666666666667,0.8706896551724138,0.8416666666666667,0.8559322033898306,0.011904761904761862,22.536056086511827,1.4693684577941895
Exp091_700samp_5comp_linear,700,5,linear,10.0,N/A,0.8699999999999999,0.8714285714285714,0.8933333333333333,0.8819444444444444,0.9,0.825,0.8608695652173913,0.02190476190476187,25.637733054163185,0.2939591407775879
Exp092_700samp_5comp_rbf,700,5,rbf,100.0,0.1,0.8771428571428572,0.9171428571428571,0.8833333333333333,0.875,0.8695652173913043,0.8333333333333334,0.851063829787234,0.033809523809523845,25.637733054163185,0.5509345531463623
Exp093_700samp_6comp_linear,700,6,linear,1.0,N/A,0.9014285714285715,0.9028571428571428,0.9166666666666666,0.9097222222222222,0.9130434782608695,0.875,0.8936170212765957,0.013809523809523827,28.52687019729137,0.22941827774047852
Exp094_700samp_6comp_rbf,700,6,rbf,100.0,0.001,0.9014285714285715,0.9042857142857142,0.9166666666666666,0.9111111111111111,0.905982905982906,0.8833333333333333,0.8945147679324894,0.012380952380952381,28.52687019729137,0.46782612800598145
Exp095_700samp_7comp_linear,700,7,linear,0.1,N/A,0.9,0.9028571428571428,0.9133333333333333,0.9055555555555556,0.9122807017543859,0.8666666666666667,0.8888888888888888,0.010476190476190528,31.334616418915733,0.2517085075378418
Exp096_700samp_7comp_rbf,700,7,rbf,100.0,0.001,0.902857142857143,0.9057142857142857,0.9233333333333333,0.9166666666666666,0.9217391304347826,0.8833333333333333,0.902127659574468,0.017619047619047645,31.334616418915733,0.44360923767089844
Exp097_700samp_8comp_linear,700,8,linear,1.0,N/A,0.9014285714285715,0.9014285714285715,0.9133333333333333,0.9069444444444444,0.9051724137931034,0.875,0.8898305084745762,0.011904761904761862,34.09905933040113,0.2318263053894043
Exp098_700samp_8comp_rbf,700,8,rbf,100.0,0.001,0.9042857142857145,0.91,0.92,0.9125,0.9210526315789473,0.875,0.8974358974358975,0.010000000000000009,34.09905933040113,0.42794108390808105
Exp099_800samp_2comp_linear,800,2,linear,0.1,N/A,0.8836242138364779,0.8836045056320401,0.8746355685131195,0.8675147048401957,0.8507462686567164,0.8321167883211679,0.8413284132841329,0.00896893711892055,16.038701926493783,0.10009622573852539
Exp100_800samp_2comp_rbf,800,2,rbf,100.0,1,0.8848663522012579,0.8961201501877347,0.8658892128279884,0.8577882503011836,0.8421052631578947,0.8175182481751825,0.8296296296296296,0.030230937359746357,16.038701926493783,0.5008864402770996
Exp101_800samp_3comp_linear,800,3,linear,0.1,N/A,0.8836242138364782,0.8836045056320401,0.8746355685131195,0.8675147048401957,0.8507462686567164,0.8321167883211679,0.8413284132841329,0.00896893711892055,19.730157063351736,0.12887859344482422
