experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
EM_f2_s4096_r1_full_low,25,2,2,4096,1,full,low,"['attr_13_3', 'attr_26_2']",100.0,0.5111111111111111,0.5,0.6,0.42857142857142855,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75,0.09999999999999998,13.083513021469116,0.02543783187866211,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
EM_f2_s4096_r1_full_standard,26,2,2,4096,1,full,standard,"['attr_13_3', 'attr_26_2']",100.0,0.5777777777777778,0.5,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.09999999999999998,12.951884508132935,0.02539658546447754,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]"
EM_f2_s4096_r1_full_high,27,2,2,4096,1,full,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.126019477844238,0.02653360366821289,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s4096_r2_linear_low,28,2,2,4096,2,linear,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.539121389389038,0.025382280349731445,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s4096_r2_linear_standard,29,2,2,4096,2,linear,standard,"['attr_13_3', 'attr_26_2']",100.0,0.5222222222222223,0.4090909090909091,0.3,0.21428571428571427,0.5,0.42857142857142855,0.42857142857142855,0.46153846153846156,0.10909090909090913,13.637255430221558,0.02769923210144043,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 1]"
EM_f2_s4096_r2_linear_high,30,2,2,4096,2,linear,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.828067302703857,0.02680373191833496,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s4096_r2_circular_low,31,2,2,4096,2,circular,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.59188437461853,0.026149511337280273,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s4096_r2_circular_standard,32,2,2,4096,2,circular,standard,"['attr_13_3', 'attr_26_2']",100.0,0.5222222222222223,0.4090909090909091,0.3,0.21428571428571427,0.5,0.42857142857142855,0.42857142857142855,0.46153846153846156,0.10909090909090913,13.577116966247559,0.025640249252319336,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 1]"
EM_f2_s4096_r2_circular_high,33,2,2,4096,2,circular,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.734464883804321,0.025948524475097656,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s4096_r2_full_low,34,2,2,4096,2,full,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.416288614273071,0.02568840980529785,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s4096_r2_full_standard,35,2,2,4096,2,full,standard,"['attr_13_3', 'attr_26_2']",100.0,0.5222222222222223,0.4090909090909091,0.3,0.21428571428571427,0.5,0.42857142857142855,0.42857142857142855,0.46153846153846156,0.10909090909090913,13.851450204849243,0.026476621627807617,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 1]"
EM_f2_s4096_r2_full_high,36,2,2,4096,2,full,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.978212594985962,0.02590346336364746,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s8192_r1_linear_low,37,2,2,8192,1,linear,low,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.3181818181818182,0.4,0.38095238095238093,0.6,0.42857142857142855,0.42857142857142855,0.5,0.08181818181818185,25.323022842407227,0.026133060455322266,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
EM_f2_s8192_r1_linear_standard,38,2,2,8192,1,linear,standard,"['attr_13_3', 'attr_26_2']",100.0,0.6166666666666666,0.4090909090909091,0.6,0.7142857142857143,1.0,0.42857142857142855,0.42857142857142855,0.6,0.19090909090909086,25.19462537765503,0.02527141571044922,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
EM_f2_s8192_r1_linear_high,39,2,2,8192,1,linear,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.22727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.07272727272727272,25.362349033355713,0.025079011917114258,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s8192_r1_circular_low,40,2,2,8192,1,circular,low,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.3181818181818182,0.4,0.38095238095238093,0.6,0.42857142857142855,0.42857142857142855,0.5,0.08181818181818185,24.958211183547974,0.026232242584228516,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
EM_f2_s8192_r1_circular_standard,41,2,2,8192,1,circular,standard,"['attr_13_3', 'attr_26_2']",100.0,0.6166666666666666,0.4090909090909091,0.6,0.7142857142857143,1.0,0.42857142857142855,0.42857142857142855,0.6,0.19090909090909086,25.41367793083191,0.02585625648498535,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
EM_f2_s8192_r1_circular_high,42,2,2,8192,1,circular,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.22727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.07272727272727272,25.76120924949646,0.025413036346435547,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
