experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
Exp_f3_s4096_r1_linear,25,3,3,4096,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,4.385042190551758,0.030256032943725586,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f3_s4096_r1_circular,26,3,3,4096,1,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.1,0.5,0.6818181818181818,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.018181818181818188,4.451010227203369,0.026959657669067383,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
Exp_f3_s4096_r1_full,27,3,3,4096,1,full,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.01,0.5,0.6818181818181818,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.018181818181818188,4.485753536224365,0.0260775089263916,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
Exp_f3_s4096_r2_linear,28,3,3,4096,2,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.5166666666666667,1.0,0.4,0.38095238095238093,0.6,0.42857142857142855,0.5,0.6,4.88517427444458,0.026454687118530273,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
Exp_f3_s4096_r2_circular,29,3,3,4096,2,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.1,0.5,0.7272727272727273,0.6,0.5238095238095238,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.12727272727272732,4.813462734222412,0.03197431564331055,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
Exp_f3_s4096_r2_full,30,3,3,4096,2,full,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.5055555555555556,0.8636363636363636,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4636363636363636,4.840412855148315,0.025673866271972656,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1]"
Exp_f3_s8192_r1_linear,31,3,3,8192,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,7.962308645248413,0.027788400650024414,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f3_s8192_r1_circular,32,3,3,8192,1,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,8.181816816329956,0.024744749069213867,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f3_s8192_r1_full,33,3,3,8192,1,full,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.1,0.5,0.6818181818181818,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.018181818181818188,8.001723289489746,0.02520275115966797,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
Exp_f3_s8192_r2_linear,34,3,3,8192,2,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.1,0.5,0.6818181818181818,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.018181818181818188,8.389965772628784,0.024565935134887695,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
Exp_f3_s8192_r2_circular,35,3,3,8192,2,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.5777777777777777,0.9545454545454546,0.6,0.5238095238095238,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.3545454545454546,8.555652856826782,0.02500629425048828,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
Exp_f3_s8192_r2_full,36,3,3,8192,2,full,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.1,0.5,0.7727272727272727,0.6,0.5238095238095238,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.17272727272727273,8.289803504943848,0.029651641845703125,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
Exp_f4_s1024_r1_linear,37,4,4,1024,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",0.01,0.5666666666666668,0.5909090909090909,0.6,0.7142857142857143,1.0,0.42857142857142855,0.6,0.009090909090909038,2.1510844230651855,0.026100873947143555,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
Exp_f4_s1024_r1_circular,38,4,4,1024,1,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",1.0,0.5944444444444444,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,2.1940226554870605,0.030063867568969727,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s1024_r1_full,39,4,4,1024,1,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.5166666666666667,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,2.6208741664886475,0.025849342346191406,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s1024_r2_linear,40,4,4,1024,2,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,2.5004913806915283,0.027497053146362305,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f4_s1024_r2_circular,41,4,4,1024,2,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.5166666666666667,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,2.7175281047821045,0.025513172149658203,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s1024_r2_full,42,4,4,1024,2,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.5166666666666667,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,3.2838618755340576,0.03053426742553711,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s4096_r1_linear,43,4,4,4096,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",0.01,0.5166666666666667,0.5909090909090909,0.6,0.7142857142857143,1.0,0.42857142857142855,0.6,0.009090909090909038,4.901675462722778,0.02719426155090332,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
Exp_f4_s4096_r1_circular,44,4,4,4096,1,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",1.0,0.5444444444444444,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,5.0811927318573,0.02542901039123535,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s4096_r1_full,45,4,4,4096,1,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.5166666666666667,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,5.420967102050781,0.027252912521362305,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s4096_r2_linear,46,4,4,4096,2,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,5.391888618469238,0.030048370361328125,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f4_s4096_r2_circular,47,4,4,4096,2,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.5166666666666667,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,5.521896839141846,0.026534318923950195,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s4096_r2_full,48,4,4,4096,2,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.5166666666666667,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,6.2241058349609375,0.025974035263061523,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s8192_r1_linear,49,4,4,8192,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",0.001,0.5499999999999999,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,8.652073383331299,0.026878833770751953,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f4_s8192_r1_circular,50,4,4,8192,1,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",1.0,0.5777777777777778,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,8.75649356842041,0.02530384063720703,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s8192_r1_full,51,4,4,8192,1,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.5166666666666667,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,9.042087078094482,0.02827310562133789,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s8192_r2_linear,52,4,4,8192,2,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,9.246065855026245,0.0248568058013916,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f4_s8192_r2_circular,53,4,4,8192,2,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",10.0,0.5166666666666667,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,9.380401134490967,0.0263974666595459,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f4_s8192_r2_full,54,4,4,8192,2,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1']",100.0,0.5722222222222223,0.9090909090909091,0.5,0.45238095238095233,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.40909090909090906,9.733758687973022,0.028110027313232422,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 0, 1, 0, 0]"
Exp_f5_s1024_r1_linear,55,5,5,1024,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",100.0,0.6,1.0,0.4,0.38095238095238093,0.6,0.42857142857142855,0.5,0.6,2.7260282039642334,0.026423215866088867,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 0]"
