PCA_Dimension,Reps,Entanglement,Shots,Best_C,CV_Score,Train_Acc,Test_Acc,Test_Balanced_Acc,Spam_Recall,Generalization_Gap,Kernel_Time,Train_Time,Total_Time,Variance_Explained,Status
8,1,full,1024,10.0,0.6366666666666667,1.0,0.6356589147286822,0.5392156862745098,0.0784313725490196,0.3643410852713178,921.3725955486298,3.758380651473999,925.1309762001038,0.35554837939337175,Success
8,2,linear,256,10.0,0.6166666666666667,1.0,0.5891472868217055,0.5075414781297134,0.11764705882352941,0.4108527131782945,628.3826279640198,3.8013598918914795,632.1839878559113,0.35554837939337175,Success
8,2,linear,512,10.0,0.62,1.0,0.5891472868217055,0.5007541478129713,0.0784313725490196,0.4108527131782945,679.8012008666992,3.795006036758423,683.5962069034576,0.35554837939337175,Success
8,2,linear,1024,10.0,0.6266666666666666,1.0,0.5813953488372093,0.4909502262443439,0.058823529411764705,0.41860465116279066,773.4058926105499,3.9449121952056885,777.3508048057556,0.35554837939337175,Success
8,2,full,256,1.0,0.62,1.0,0.6124031007751938,0.5131975867269986,0.0392156862745098,0.3875968992248062,1266.8214483261108,3.8589773178100586,1270.680425643921,0.35554837939337175,Success
8,2,full,512,10.0,0.6266666666666666,1.0,0.6201550387596899,0.5196078431372549,0.0392156862745098,0.3798449612403101,1324.9945318698883,3.9008965492248535,1328.8954284191132,0.35554837939337175,Success
8,2,full,1024,1.0,0.6266666666666666,1.0,0.6124031007751938,0.5098039215686274,0.0196078431372549,0.3875968992248062,1982.1929035186768,14.252557516098022,1996.4454610347748,0.35554837939337175,Success
8,3,linear,256,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,2702.9774253368378,14.014100551605225,2716.991525888443,0.35554837939337175,Success
8,3,linear,512,0.001,0.6,0.6,0.6046511627906976,0.5,0.0,0.0046511627906976605,2929.003540277481,14.555850267410278,2943.5593905448914,0.35554837939337175,Success
8,3,linear,1024,1.0,0.6066666666666666,1.0,0.6046511627906976,0.5237556561085973,0.13725490196078433,0.39534883720930236,3195.3534014225006,14.489681959152222,3209.843083381653,0.35554837939337175,Success
8,3,full,256,1.0,0.63,1.0,0.5891472868217055,0.48717948717948717,0.0,0.4108527131782945,3829.735120534897,4.072931289672852,3833.8080518245697,0.35554837939337175,Success
8,3,full,512,10.0,0.6233333333333334,1.0,0.6046511627906976,0.5,0.0,0.39534883720930236,1831.1722946166992,3.895817995071411,1835.0681126117706,0.35554837939337175,Success
8,3,full,1024,1.0,0.6266666666666666,1.0,0.6046511627906976,0.5,0.0,0.39534883720930236,7218.552927732468,15.10079050064087,7233.6537182331085,0.35554837939337175,Success
12,1,linear,256,1.0,0.6266666666666666,1.0,0.6124031007751938,0.5098039215686274,0.0196078431372549,0.3875968992248062,4731.341048002243,5.119278907775879,4736.460326910019,0.4597819977742176,Success
12,1,linear,512,1.0,0.6266666666666666,1.0,0.6124031007751938,0.5098039215686274,0.0196078431372549,0.3875968992248062,2044.713666677475,4.175044536590576,2048.8887112140656,0.4597819977742176,Success
12,1,linear,1024,1.0,0.6266666666666666,1.0,0.6124031007751938,0.5098039215686274,0.0196078431372549,0.3875968992248062,4543.082457780838,6.058162450790405,4549.140620231628,0.4597819977742176,Success
12,1,full,256,1.0,0.6266666666666666,1.0,0.6046511627906976,0.5,0.0,0.39534883720930236,3825.3453080654144,4.175994873046875,3829.5213029384613,0.4597819977742176,Success
12,1,full,512,1.0,0.6266666666666666,1.0,0.6046511627906976,0.5,0.0,0.39534883720930236,11278.397838115692,5.306692838668823,11283.704530954361,0.4597819977742176,Success
12,1,full,1024,1.0,0.6266666666666666,1.0,0.6046511627906976,0.5,0.0,0.39534883720930236,8354.240265846252,5.093512058258057,8359.33377790451,0.4597819977742176,Success
12,2,linear,256,1.0,0.6266666666666666,1.0,0.6124031007751938,0.5098039215686274,0.0196078431372549,0.3875968992248062,2333.7694935798645,4.038483381271362,2337.807976961136,0.4597819977742176,Success
12,2,linear,512,1.0,0.6266666666666666,1.0,0.6124031007751938,0.5098039215686274,0.0196078431372549,0.3875968992248062,3066.3083839416504,3.9552242755889893,3070.2636082172394,0.4597819977742176,Success
12,2,linear,1024,1.0,0.6266666666666666,1.0,0.6124031007751938,0.5098039215686274,0.0196078431372549,0.3875968992248062,3037.8770668506622,4.342686414718628,3042.219753265381,0.4597819977742176,Success
12,2,full,256,1.0,0.6233333333333334,1.0,0.6046511627906976,0.5,0.0,0.39534883720930236,5087.828105926514,4.989237070083618,5092.817342996597,0.4597819977742176,Success
