experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
Noisy_f2_s4096_r2_circular_low,31,2,2,4096,2,circular,low,"['attr_13_3', 'attr_26_2']",100.0,0.6055555555555555,0.8181818181818182,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4181818181818182,14.846417427062988,0.0652925968170166,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]"
Noisy_f2_s4096_r2_circular_standard,32,2,2,4096,2,circular,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,14.978901624679565,0.0573575496673584,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r2_circular_high,33,2,2,4096,2,circular,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,14.507427215576172,0.06877541542053223,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s4096_r2_full_low,34,2,2,4096,2,full,low,"['attr_13_3', 'attr_26_2']",100.0,0.6055555555555555,0.8181818181818182,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4181818181818182,14.017706871032715,0.06220602989196777,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]"
Noisy_f2_s4096_r2_full_standard,35,2,2,4096,2,full,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,15.165088176727295,0.07787156105041504,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r2_full_high,36,2,2,4096,2,full,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,14.816933155059814,0.06528019905090332,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r1_linear_low,37,2,2,8192,1,linear,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,27.183082103729248,0.06202864646911621,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r1_linear_standard,38,2,2,8192,1,linear,standard,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,27.48729944229126,0.06386613845825195,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r1_linear_high,39,2,2,8192,1,linear,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,27.61777687072754,0.07543373107910156,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s8192_r1_circular_low,40,2,2,8192,1,circular,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,20.372767210006714,0.02949976921081543,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r1_circular_standard,41,2,2,8192,1,circular,standard,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.24090027809143,0.027969837188720703,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r1_circular_high,42,2,2,8192,1,circular,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,13.312131643295288,0.026348590850830078,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s8192_r1_full_low,43,2,2,8192,1,full,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.158833980560303,0.0254058837890625,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r1_full_standard,44,2,2,8192,1,full,standard,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.30999207496643,0.027367115020751953,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r1_full_high,45,2,2,8192,1,full,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,55.772910833358765,0.11798214912414551,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s8192_r2_linear_low,46,2,2,8192,2,linear,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,63.812684297561646,0.06951570510864258,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r2_linear_standard,47,2,2,8192,2,linear,standard,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,24.79625678062439,0.056412458419799805,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s8192_r2_linear_high,48,2,2,8192,2,linear,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,28.0340518951416,0.0678708553314209,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r2_circular_low,49,2,2,8192,2,circular,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,29.026555061340332,0.07787156105041504,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r2_circular_standard,50,2,2,8192,2,circular,standard,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,31.721870183944702,0.07512617111206055,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s8192_r2_circular_high,51,2,2,8192,2,circular,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,29.52232789993286,0.06704902648925781,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r2_full_low,52,2,2,8192,2,full,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,28.13813066482544,0.0703437328338623,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s8192_r2_full_standard,53,2,2,8192,2,full,standard,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,25.231003284454346,0.06604957580566406,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
